Date,Open,High,Low,Close,Adj Close,Volume
2022-03-05,0.004306,0.004352,0.004265,0.004334,0.004334,0
2022-03-06,0.004334,0.004360,0.004203,0.004226,0.004226,0
2022-03-07,0.004227,0.004337,0.004099,0.004187,0.004187,0
2022-03-08,0.004187,0.004323,0.004175,0.004261,0.004261,0
2022-03-09,0.004262,0.004671,0.004258,0.004618,0.004618,0
2022-03-10,0.004617,0.004621,0.004272,0.004338,0.004338,0
2022-03-11,0.004338,0.004409,0.004218,0.004267,0.004267,0
2022-03-12,0.004267,0.004324,0.004265,0.004279,0.004279,0
2022-03-13,0.004277,0.004313,0.004150,0.004163,0.004163,0
2022-03-14,0.004163,0.004316,0.003097,0.003173,0.003173,69
2022-03-15,0.003173,0.003184,0.003065,0.003147,0.003147,0
2022-03-16,0.003147,0.003317,0.003122,0.003292,0.003292,0
2022-03-17,0.003291,0.003716,0.003270,0.003686,0.003686,4
2022-03-18,0.003685,0.003798,0.003637,0.003762,0.003762,0
2022-03-19,0.003762,0.003808,0.003744,0.003797,0.003797,0
2022-03-20,0.003797,0.004591,0.003753,0.004537,0.004537,9
2022-03-21,0.004537,0.006633,0.004473,0.006572,0.006572,12
2022-03-22,0.006572,0.008523,0.006552,0.006777,0.006777,247
2022-03-23,0.006778,0.006863,0.006700,0.006863,0.006863,0
2022-03-24,0.006862,0.007061,0.006836,0.007034,0.007034,0
2022-03-25,0.007034,0.007200,0.006993,0.007096,0.007096,0
2022-03-26,0.007096,0.007158,0.007067,0.007120,0.007120,0
2022-03-27,0.007121,0.007492,0.007110,0.007491,0.007491,0
2022-03-28,0.007491,0.007694,0.007470,0.007540,0.007540,0
2022-03-29,0.007536,0.007628,0.004712,0.004747,0.004747,8
2022-03-30,0.004746,0.004766,0.004675,0.004706,0.004706,0
2022-03-31,0.004706,0.004751,0.004539,0.004554,0.004554,0
2022-04-01,0.004555,0.004662,0.004440,0.004628,0.004628,0
2022-04-02,0.004629,0.005556,0.004578,0.005504,0.005504,5
2022-04-03,0.005503,0.005678,0.005476,0.005574,0.005574,0
2022-04-04,0.005573,0.005615,0.005428,0.005595,0.005595,0
2022-04-05,0.005595,0.005653,0.005465,0.005467,0.005467,0
2022-04-06,0.005465,0.005465,0.005183,0.005185,0.005185,0
2022-04-07,0.005185,0.005263,0.005148,0.005220,0.005220,0
2022-04-08,0.005221,0.005268,0.005062,0.005075,0.005075,0
2022-04-09,0.005074,0.005114,0.003820,0.003850,0.003850,16
2022-04-10,0.003850,0.005205,0.003833,0.005065,0.005065,74
2022-04-11,0.005064,0.005091,0.004725,0.004743,0.004743,0
2022-04-12,0.004744,0.004874,0.004727,0.004815,0.004815,0
2022-04-13,0.004815,0.004972,0.004766,0.004940,0.004940,0
2022-04-14,0.004939,0.004974,0.004763,0.004792,0.004792,0
2022-04-15,0.004793,0.004874,0.004784,0.004866,0.004866,0
2022-04-16,0.004866,0.004876,0.004809,0.004851,0.004851,0
2022-04-17,0.004850,0.004868,0.004755,0.004766,0.004766,0
